ATeam,ASeed,BTeam,BSeed,ARk,AAdjEM,AAdjO,AStrength_of_Schedule_AdjD,ANCSOS_AdjT,AW,AL,BRk,BAdjEM,BAdjO,BStrength_of_Schedule_AdjD,BNCSOS_AdjT,BW,BL,A_g,A_mp_per_g,A_fg_per_g,A_fga_per_g,A_fg_pct,A_fg2_per_g,A_fg2a_per_g,A_fg2_pct,A_fg3_per_g,A_fg3a_per_g,A_fg3_pct,A_ft_per_g,A_fta_per_g,A_ft_pct,A_orb_per_g,A_drb_per_g,A_trb_per_g,A_ast_per_g,A_stl_per_g,A_blk_per_g,A_tov_per_g,A_pf_per_g,A_pts_per_g,B_g,B_mp_per_g,B_fg_per_g,B_fga_per_g,B_fg_pct,B_fg2_per_g,B_fg2a_per_g,B_fg2_pct,B_fg3_per_g,B_fg3a_per_g,B_fg3_pct,B_ft_per_g,B_fta_per_g,B_ft_pct,B_orb_per_g,B_drb_per_g,B_trb_per_g,B_ast_per_g,B_stl_per_g,B_blk_per_g,B_tov_per_g,B_pf_per_g,B_pts_per_g
Texas,6,Virginia Tech,11,15,20.41,111.8,32,91.4,21,11,23,17.86,114.3,18,96.4,23,12,32,40.3,24.3,55.0,0.442,17.9,35.2,0.508,6.4,19.8,0.323,13.3,17.8,0.749,10.4,23.2,33.6,13.0,7.7,3.4,11.8,17.4,68.3,35,40.1,26.0,55.3,0.471,17.0,32.3,0.526,9.0,22.9,0.393,9.7,13.1,0.743,8.6,23.6,32.2,14.4,5.4,3.2,10.8,14.7,70.7
USC,7,Miami (FL),10,42,14.45,110.5,47,96.0,26,7,62,12.62,114.8,17,102.1,23,10,33,40.3,26.8,59.2,0.454,20.2,40.2,0.501,6.7,18.9,0.354,12.2,18.3,0.666,11.9,28.2,40.2,14.2,5.1,4.5,12.0,15.6,72.6,33,40.2,27.6,57.7,0.478,20.3,37.0,0.548,7.3,20.7,0.353,12.4,16.6,0.743,7.5,22.9,30.5,14.0,8.7,2.9,9.6,14.9,74.8
UCLA,4,Akron,13,8,24.85,116.1,15,91.2,25,7,131,3.49,106.2,113,102.7,24,9,32,40.8,27.9,62.1,0.45,21.1,42.5,0.496,6.9,19.6,0.351,13.6,18.5,0.736,11.6,25.5,37.1,14.0,7.0,3.3,9.2,16.3,76.4,33,40.2,24.4,52.9,0.462,16.5,30.8,0.537,7.9,22.2,0.357,14.4,21.0,0.687,9.9,25.1,35.0,11.9,5.8,3.3,11.5,15.8,71.2
Boise State,8,Memphis,9,26,16.41,108.5,76,92.1,27,7,28,16.22,110.4,50,94.1,21,10,34,40.4,24.5,54.6,0.448,17.1,33.4,0.512,7.4,21.2,0.348,12.4,19.1,0.649,10.2,24.8,35.0,11.5,5.9,3.5,12.1,15.1,68.7,31,40.0,26.9,57.2,0.471,20.6,39.6,0.52,6.3,17.6,0.359,15.2,22.0,0.692,12.5,26.3,38.7,16.1,8.7,5.7,16.4,18.7,75.4
UConn,5,New Mexico State,12,18,19.33,113.9,21,94.6,23,9,81,10.1,107.8,87,97.7,26,6,32,40.8,26.8,61.6,0.436,19.4,40.5,0.478,7.4,21.1,0.353,14.1,18.8,0.75,14.0,26.9,40.9,14.0,6.0,6.5,11.9,16.8,75.2,32,40.2,25.9,56.6,0.457,18.0,32.5,0.554,7.8,24.0,0.326,13.7,19.7,0.698,11.1,27.3,38.5,13.9,5.1,4.2,14.0,15.9,73.3
Iowa,5,Richmond,12,13,23.53,121.5,2,98.0,26,9,83,9.82,109.1,68,99.3,23,12,35,40.3,29.9,64.5,0.464,20.6,39.2,0.526,9.3,25.2,0.368,14.7,19.6,0.749,11.8,25.4,37.3,16.1,7.4,4.4,9.2,16.1,83.8,35,40.3,25.4,57.2,0.444,17.3,33.1,0.522,8.1,24.1,0.337,12.8,17.7,0.725,7.5,24.8,32.3,14.7,7.9,2.3,9.8,13.9,71.7
Arkansas,4,Vermont,13,20,19.02,111.1,40,92.1,25,8,59,13.07,110.8,44,97.7,28,5,33,40.3,26.6,60.6,0.44,20.3,39.8,0.509,6.4,20.8,0.307,17.3,23.0,0.753,11.2,26.9,38.2,14.1,7.7,4.2,12.6,16.8,76.9,33,40.2,27.6,55.9,0.493,18.8,31.8,0.591,8.8,24.0,0.364,11.0,14.8,0.747,7.3,27.8,35.1,15.2,5.2,2.5,9.7,13.8,74.9
Colorado State,6,Michigan,11,31,15.86,114.2,20,98.3,25,5,33,15.65,114.2,19,98.6,17,14,30,40.3,26.6,54.8,0.485,19.0,33.5,0.566,7.6,21.3,0.358,12.9,16.7,0.774,6.6,25.3,31.9,14.2,6.3,3.2,10.1,14.9,73.7,31,40.0,27.1,57.9,0.468,20.7,39.2,0.53,6.4,18.7,0.34,12.5,16.7,0.746,10.0,25.5,35.5,14.2,4.8,3.1,11.5,15.5,73.0
Providence,4,South Dakota State,13,49,13.88,111.9,31,98.0,25,5,71,11.44,116.8,12,105.3,30,4,30,40.8,24.4,55.9,0.437,17.1,34.6,0.496,7.3,21.3,0.343,15.6,21.5,0.726,10.5,26.9,37.5,13.2,5.0,3.8,11.7,16.0,71.8,34,40.1,31.1,59.2,0.525,21.7,38.3,0.566,9.4,20.9,0.449,15.2,20.0,0.759,7.4,28.1,35.6,15.2,6.1,2.5,11.0,15.4,86.7
Ohio State,7,Loyola (IL),10,32,15.82,116.6,13,100.8,19,11,24,17.69,110.9,42,93.2,25,7,30,40.3,25.9,54.7,0.474,17.8,33.0,0.54,8.1,21.7,0.373,13.9,18.3,0.76,8.8,25.5,34.4,12.8,4.4,4.8,11.0,16.4,73.8,32,40.6,26.3,54.3,0.483,17.3,31.1,0.558,8.9,23.3,0.383,12.4,17.3,0.719,7.7,26.3,34.0,15.0,6.9,2.4,12.2,17.2,73.8
