Year,Team,Rk,Conf,AdjEM,AdjO,Strength_of_Schedule_AdjD,NCSOS_AdjT,Seed,W,L
2002,Duke,1,ACC,34.19,121.0,1,86.8,1,31,4
2002,Cincinnati,2,CUSA,30.19,118.1,7,87.9,1,31,4
2002,Maryland,3,ACC,29.25,119.2,4,89.9,1,32,4
2002,Kansas,4,B12,28.99,118.7,5,89.7,1,33,4
2002,Oklahoma,5,B12,26.04,114.9,20,88.9,2,31,5
2002,Indiana,6,B10,24.8,114.0,26,89.2,5,25,12
2002,Florida,7,SEC,24.72,115.1,19,90.4,5,22,9
2002,Illinois,8,B10,23.21,115.7,17,92.5,4,26,9
2002,Oregon,9,P10,22.97,119.2,3,96.3,2,26,9
2002,Kentucky,10,SEC,22.21,113.4,29,91.2,4,22,10
2002,Marquette,11,CUSA,21.47,113.4,30,91.9,5,26,7
2002,USC,12,P10,20.67,112.8,36,92.1,4,22,10
2002,Arizona,13,P10,20.54,119.3,2,98.8,3,24,10
2002,Kent St.,14,MAC,20.39,116.7,8,96.4,10,29,6
2002,Stanford,15,P10,20.32,116.6,10,96.3,8,20,10
2002,Pittsburgh,16,BE,19.94,112.1,39,92.2,3,29,6
2002,Ohio St.,17,B10,19.76,116.4,11,96.6,4,24,8
2002,Connecticut,18,BE,19.36,112.2,38,92.8,2,27,7
2002,Notre Dame,19,BE,19.27,116.1,14,96.8,8,21,11
2002,N.C. State,21,ACC,19.15,113.2,33,94.0,7,23,11
2002,Alabama,22,SEC,18.73,114.0,24,95.3,2,27,8
2002,Xavier,23,A10,18.6,111.2,48,92.6,7,26,6
2002,Gonzaga,24,WCC,18.51,115.6,18,97.1,6,28,4
2002,Georgia,25,SEC,18.44,116.7,9,98.3,3,22,9
2002,Mississippi St.,26,SEC,18.25,111.4,43,93.1,3,27,8
2002,Texas,27,B12,17.69,116.0,15,98.3,6,22,12
2002,Missouri,29,B12,17.49,116.2,12,98.7,12,24,12
2002,Wake Forest,30,ACC,17.35,118.6,6,101.3,7,21,13
2002,Texas Tech,31,B12,17.24,114.6,21,97.4,6,23,9
2002,Michigan St.,32,B10,16.86,113.0,34,96.2,10,19,12
2002,Mississippi,34,SEC,16.68,113.3,31,96.7,9,19,11
2002,UCLA,35,P10,16.34,113.7,27,97.3,8,21,12
2002,California,37,P10,16.03,109.8,66,93.7,6,23,9
2002,Oklahoma St.,38,B12,15.8,107.9,88,92.1,7,23,9
2002,Miami FL,39,BE,15.77,110.5,56,94.7,5,24,8
2002,Charlotte,40,CUSA,15.73,114.2,23,98.5,9,18,12
2002,Tulsa,41,WAC,15.59,116.0,16,100.4,12,26,7
2002,Western Kentucky,44,SB,14.51,110.5,55,96.0,9,26,4
2002,Utah,45,MWC,14.08,111.4,44,97.3,12,19,9
2002,Valparaiso,47,MCon,13.63,111.5,42,97.8,13,24,8
2002,Southern Illinois,49,MVC,13.45,109.2,73,95.7,11,28,8
2002,Wisconsin,50,B10,13.22,110.7,53,97.5,8,18,13
2002,Hawaii,51,WAC,13.15,110.3,58,97.2,10,26,6
2002,Penn,58,Ivy,12.23,110.2,60,98.0,11,25,7
2002,Creighton,59,MVC,11.82,111.3,47,99.5,12,23,9
2002,Pepperdine,62,WCC,11.72,111.1,49,99.3,10,21,9
2002,UNC Wilmington,65,CAA,11.32,107.4,98,96.1,13,23,10
2002,Wyoming,67,MWC,11.01,107.8,91,96.7,11,22,9
2002,Boston College,71,BE,9.97,109.4,70,99.4,11,20,12
2002,San Diego St.,74,MWC,9.29,106.9,104,97.6,13,21,12
2002,St. John's,76,BE,9.06,102.7,170,93.6,9,20,12
2002,UC Santa Barbara,77,BW,8.87,108.2,81,99.3,14,19,11
2002,McNeese St.,100,Slnd,5.39,103.2,157,97.8,14,20,9
2002,Hampton,116,MEAC,3.99,109.9,64,105.9,15,25,7
2002,Illinois Chicago,118,Horz,3.85,108.9,74,105.0,15,18,14
2002,Davidson,119,SC,3.7,101.5,187,97.8,13,18,10
2002,Murray St.,146,OVC,1.35,106.8,106,105.5,14,17,13
2002,Central Connecticut,150,NEC,0.93,100.6,202,99.7,14,27,5
2002,Holy Cross,162,Pat,-0.24,98.1,245,98.4,16,18,15
2002,Siena,174,MAAC,-1.21,100.8,201,102.0,16,17,19
2002,Florida Atlantic,191,ASun,-2.5,99.6,220,102.1,15,18,12
2002,Boston University,194,AE,-2.74,101.3,192,104.0,16,22,10
2002,Montana,210,BSky,-4.51,102.4,176,106.9,15,14,15
2002,Winthrop,219,BSth,-5.31,97.3,258,102.6,16,17,12
2002,Alcorn St.,252,SWAC,-8.71,100.1,213,108.8,16,20,10
2003,Kentucky,1,SEC,29.18,116.5,5,87.4,1,32,4
2003,Kansas,2,B12,28.62,115.0,12,86.4,2,30,8
2003,Pittsburgh,3,BE,28.61,114.8,14,86.2,2,28,5
2003,Arizona,4,P10,26.8,115.6,10,88.8,1,28,4
2003,Illinois,5,B10,24.47,113.2,22,88.7,4,25,7
2003,Duke,6,ACC,23.75,115.0,13,91.3,3,26,7
2003,Texas,7,B12,23.49,119.3,3,95.8,1,26,7
2003,Syracuse,8,BE,23.28,114.4,17,91.1,3,30,5
2003,Oklahoma,9,B12,23.01,112.1,25,89.1,1,27,7
2003,Louisville,10,CUSA,22.75,115.8,9,93.0,4,25,7
2003,Florida,11,SEC,22.14,116.5,6,94.4,2,25,8
2003,Wisconsin,12,B10,22.07,114.4,16,92.4,5,24,8
2003,Maryland,13,ACC,22.0,110.9,34,88.9,6,21,10
2003,Mississippi St.,14,SEC,21.53,107.4,79,85.8,5,21,10
2003,Marquette,15,CUSA,21.3,120.5,2,99.2,3,27,6
2003,Saint Joseph's,17,A10,20.75,109.0,58,88.3,7,23,7
2003,Notre Dame,18,BE,20.31,116.5,7,96.2,5,24,10
2003,Michigan St.,19,B10,20.26,110.1,43,89.9,7,22,13
2003,Xavier,20,A10,19.88,113.8,19,94.0,3,26,6
2003,Wake Forest,21,ACC,19.87,114.5,15,94.6,2,25,6
2003,Connecticut,22,BE,19.54,111.6,26,92.0,5,23,10
2003,LSU,23,SEC,18.15,111.0,33,92.8,8,21,11
2003,BYU,24,MWC,17.68,109.4,52,91.7,12,23,9
2003,Oklahoma St.,25,B12,17.67,105.9,100,88.2,6,22,10
2003,Creighton,26,MVC,17.54,112.4,24,94.9,6,29,5
2003,Purdue,27,B10,17.42,107.0,87,89.6,9,19,11
2003,Missouri,28,B12,17.32,111.5,27,94.2,6,22,11
2003,Memphis,29,CUSA,16.72,110.9,35,94.1,7,23,7
2003,Arizona St.,30,P10,16.49,113.9,18,97.4,10,20,12
2003,Butler,31,Horz,16.09,115.4,11,99.3,12,27,6
2003,Gonzaga,33,WCC,15.58,113.2,21,97.7,9,24,9
2003,Colorado,34,B12,15.27,109.1,56,93.8,10,20,12
2003,Cincinnati,36,CUSA,14.69,105.0,116,90.3,8,17,12
2003,UNC Wilmington,37,CAA,14.62,109.5,49,94.9,11,24,7
2003,Alabama,38,SEC,14.6,110.3,39,95.7,10,17,12
2003,Stanford,39,P10,14.57,109.8,46,95.2,4,24,9
2003,Dayton,40,A10,14.53,116.4,8,101.9,4,24,6
2003,Indiana,41,B10,14.48,113.4,20,98.9,7,21,13
2003,Oregon,42,P10,14.25,111.4,29,97.1,8,23,10
2003,Utah,44,MWC,14.04,106.6,91,92.6,9,25,8
2003,Auburn,46,SEC,13.63,107.7,74,94.1,10,22,12
2003,California,47,P10,13.59,109.9,45,96.3,8,22,9
2003,Penn,48,Ivy,13.35,110.3,41,96.9,11,22,6
2003,N.C. State,50,ACC,13.18,111.2,30,98.1,9,18,13
2003,Tulsa,51,WAC,13.04,107.9,70,94.9,13,23,10
2003,Milwaukee,52,Horz,12.97,109.0,60,96.0,12,23,8
2003,Southern Illinois,55,MVC,11.76,110.3,40,98.6,11,24,7
2003,Western Kentucky,56,SB,11.75,108.0,65,96.3,13,24,9
2003,Holy Cross,66,Pat,10.4,105.5,107,95.1,14,25,5
2003,Manhattan,68,MAAC,10.04,105.5,106,95.4,14,23,7
2003,Central Michigan,70,MAC,10.01,109.5,51,99.4,11,25,7
2003,Weber St.,76,BSky,8.88,111.4,28,102.5,12,25,5
2003,San Diego,80,WCC,8.32,104.7,119,96.4,13,17,12
2003,Utah St.,88,BW,7.41,107.1,85,99.7,15,22,9
2003,Troy St.,99,ASun,6.15,106.9,88,100.8,14,25,6
2003,Colorado St.,104,MWC,5.96,110.6,37,104.6,14,17,14
2003,Austin Peay,135,OVC,2.65,100.7,197,98.0,13,20,8
2003,East Tennessee St.,147,SC,1.75,101.3,186,99.6,15,17,11
2003,Vermont,150,AE,1.57,101.1,191,99.5,16,19,11
2003,Sam Houston St.,157,Slnd,0.82,101.5,179,100.6,15,21,7
2003,IUPUI,161,MCon,0.46,102.9,153,102.5,16,19,14
2003,Wagner,179,NEC,-1.16,104.7,118,105.9,15,21,11
2003,South Carolina St.,244,MEAC,-8.59,96.4,260,105.0,16,20,11
2003,Texas Southern,260,SWAC,-10.45,98.3,238,108.7,16,18,13
2003,UNC Asheville,283,BSth,-12.35,101.2,187,113.5,16,14,17
2004,Duke,1,ACC,32.33,120.8,2,88.5,1,31,6
2004,Connecticut,2,BE,28.3,117.8,9,89.5,2,33,6
2004,Saint Joseph's,3,A10,27.66,118.9,5,91.2,1,30,2
2004,Oklahoma St.,4,B12,27.37,118.5,6,91.1,2,31,4
2004,Pittsburgh,5,BE,25.91,114.1,20,88.2,3,31,5
2004,Wisconsin,6,B10,25.74,116.0,14,90.3,6,25,7
2004,Gonzaga,7,WCC,25.34,120.8,3,95.5,2,28,3
2004,Georgia Tech,8,ACC,24.69,113.5,28,88.8,3,28,10
2004,N.C. State,9,ACC,23.98,119.1,4,95.1,3,21,10
2004,Kentucky,10,SEC,23.35,113.5,26,90.1,1,27,5
2004,North Carolina,11,ACC,23.23,117.4,10,94.1,6,19,11
2004,Stanford,12,P10,22.52,111.9,42,89.3,1,30,2
2004,Illinois,13,B10,22.11,117.8,8,95.7,5,26,7
