Year,Date,Region,Round,PTS,OT,Diff,Location,WinningTeam,WinningSeed_x,LosingTeam,LosingSeed_x,Team_x,WinningRk,WinningConf,WinningAdjEM,WinningAdjO,WinningStrength_of_Schedule_AdjD,WinningNCSOS_AdjT,WinningSeed_y,WinningW,WinningL,Team_y,LosingRk,LosingConf,LosingAdjEM,LosingAdjO,LosingStrength_of_Schedule_AdjD,LosingNCSOS_AdjT,LosingSeed_y,LosingW,LosingL,Team_x,Winning_g,Winning_mp_per_g,Winning_fg_per_g,Winning_fga_per_g,Winning_fg_pct,Winning_fg2_per_g,Winning_fg2a_per_g,Winning_fg2_pct,Winning_fg3_per_g,Winning_fg3a_per_g,Winning_fg3_pct,Winning_ft_per_g,Winning_fta_per_g,Winning_ft_pct,Winning_orb_per_g,Winning_drb_per_g,Winning_trb_per_g,Winning_ast_per_g,Winning_stl_per_g,Winning_blk_per_g,Winning_tov_per_g,Winning_pf_per_g,Winning_pts_per_g,Team_y,Losing_g,Losing_mp_per_g,Losing_fg_per_g,Losing_fga_per_g,Losing_fg_pct,Losing_fg2_per_g,Losing_fg2a_per_g,Losing_fg2_pct,Losing_fg3_per_g,Losing_fg3a_per_g,Losing_fg3_pct,Losing_ft_per_g,Losing_fta_per_g,Losing_ft_pct,Losing_orb_per_g,Losing_drb_per_g,Losing_trb_per_g,Losing_ast_per_g,Losing_stl_per_g,Losing_blk_per_g,Losing_tov_per_g,Losing_pf_per_g,Losing_pts_per_g
2021,"April 5, 2021",National,National Final,70,False,16,"Indianapolis, IN",Baylor,1,Gonzaga,1,Baylor,2,B12,33.87,125.0,2,91.1,1,28,2,Gonzaga,1.0,WCC,36.48,126.4,1.0,89.9,1.0,31.0,1.0,Baylor,30.0,40.2,30.6,62.9,0.486,20.6,38.7,0.532,10.0,24.1,0.413,11.8,16.7,0.708,12.5,23.5,36.0,16.9,8.9,3.7,11.5,17.1,82.9,Gonzaga,32.0,40.2,33.7,61.4,0.549,26.2,41.0,0.639,7.5,20.4,0.368,16.0,22.0,0.73,9.0,28.1,37.2,18.8,7.9,2.8,12.0,16.3,91.0
2021,"April 3, 2021",National,National Semifinal,90,True,3,"Indianapolis, IN",Gonzaga,1,UCLA,11,Gonzaga,1,WCC,36.48,126.4,1,89.9,1,31,1,UCLA,13.0,P12,22.43,116.9,11.0,94.5,11.0,22.0,10.0,Gonzaga,32.0,40.2,33.7,61.4,0.549,26.2,41.0,0.639,7.5,20.4,0.368,16.0,22.0,0.73,9.0,28.1,37.2,18.8,7.9,2.8,12.0,16.3,91.0,UCLA,32.0,41.4,26.8,58.0,0.461,19.9,39.7,0.503,6.8,18.3,0.372,13.1,18.3,0.715,9.8,25.2,34.9,13.7,4.9,2.8,10.5,16.1,73.4
2021,"April 3, 2021",National,National Semifinal,59,False,19,"Indianapolis, IN",Baylor,1,Houston,2,Baylor,2,B12,33.87,125.0,2,91.1,1,28,2,Houston,5.0,Amer,28.75,118.3,7.0,89.6,2.0,28.0,4.0,Baylor,30.0,40.2,30.6,62.9,0.486,20.6,38.7,0.532,10.0,24.1,0.413,11.8,16.7,0.708,12.5,23.5,36.0,16.9,8.9,3.7,11.5,17.1,82.9,Houston,32.0,40.0,26.7,61.3,0.435,17.6,35.6,0.495,9.1,25.7,0.354,13.6,18.6,0.731,14.3,26.2,40.5,13.9,8.0,4.7,10.7,18.0,76.1
2021,"March 30, 2021",East,Regional Final,49,False,2,"Indianapolis, IN",UCLA,11,Michigan,1,UCLA,13,P12,22.43,116.9,11,94.5,11,22,10,Michigan,3.0,B10,29.67,117.6,9.0,87.9,1.0,23.0,5.0,UCLA,32.0,41.4,26.8,58.0,0.461,19.9,39.7,0.503,6.8,18.3,0.372,13.1,18.3,0.715,9.8,25.2,34.9,13.7,4.9,2.8,10.5,16.1,73.4,Michigan,28.0,40.2,27.5,57.1,0.482,20.2,37.8,0.535,7.4,19.3,0.381,13.3,17.3,0.769,8.9,28.5,37.5,15.8,4.3,4.2,11.3,14.7,75.8
2021,"March 30, 2021",West,Regional Final,66,False,19,"Indianapolis, IN",Gonzaga,1,USC,6,Gonzaga,1,WCC,36.48,126.4,1,89.9,1,31,1,USC,6.0,P12,27.58,115.7,14.0,88.1,6.0,25.0,8.0,Gonzaga,32.0,40.2,33.7,61.4,0.549,26.2,41.0,0.639,7.5,20.4,0.368,16.0,22.0,0.73,9.0,28.1,37.2,18.8,7.9,2.8,12.0,16.3,91.0,USC,33.0,40.6,27.4,58.1,0.472,20.9,40.1,0.522,6.5,18.0,0.36,13.7,21.1,0.649,11.6,27.2,38.8,13.9,4.8,5.1,12.4,15.1,74.9
2021,"March 29, 2021",Midwest,Regional Final,61,False,6,"Indianapolis, IN",Houston,2,Oregon State,12,Houston,5,Amer,28.75,118.3,7,89.6,2,28,4,Oregon State,43.0,P12,16.4,112.1,36.0,95.7,12.0,20.0,13.0,Houston,32.0,40.0,26.7,61.3,0.435,17.6,35.6,0.495,9.1,25.7,0.354,13.6,18.6,0.731,14.3,26.2,40.5,13.9,8.0,4.7,10.7,18.0,76.1,Oregon State,33.0,40.3,24.3,55.8,0.436,17.4,36.3,0.479,7.0,19.5,0.357,14.8,19.5,0.762,10.1,24.2,34.3,14.5,5.8,3.5,11.6,18.8,70.5
2021,"March 29, 2021",South,Regional Final,72,False,9,"Indianapolis, IN",Baylor,1,Arkansas,3,Baylor,2,B12,33.87,125.0,2,91.1,1,28,2,Arkansas,18.0,SEC,21.56,111.1,43.0,89.6,3.0,25.0,7.0,Baylor,30.0,40.2,30.6,62.9,0.486,20.6,38.7,0.532,10.0,24.1,0.413,11.8,16.7,0.708,12.5,23.5,36.0,16.9,8.9,3.7,11.5,17.1,82.9,Arkansas,32.0,40.2,29.2,64.7,0.451,21.9,42.8,0.513,7.3,21.9,0.332,15.7,21.2,0.74,11.8,27.9,39.7,14.6,7.8,4.9,12.9,16.9,81.4
2021,"March 28, 2021",East,Regional Semifinal,78,True,10,"Indianapolis, IN",UCLA,11,Alabama,2,UCLA,13,P12,22.43,116.9,11,94.5,11,22,10,Alabama,9.0,SEC,25.09,112.9,30.0,87.8,2.0,26.0,7.0,UCLA,32.0,41.4,26.8,58.0,0.461,19.9,39.7,0.503,6.8,18.3,0.372,13.1,18.3,0.715,9.8,25.2,34.9,13.7,4.9,2.8,10.5,16.1,73.4,Alabama,33.0,40.2,28.0,64.4,0.435,17.5,34.4,0.507,10.5,30.0,0.352,13.1,18.5,0.708,12.4,28.3,40.7,14.1,8.5,4.3,13.9,18.3,79.7
2021,"March 28, 2021",West,Regional Semifinal,68,False,14,"Indianapolis, IN",USC,6,Oregon,7,USC,6,P12,27.58,115.7,14,88.1,6,25,8,Oregon,16.0,P12,21.85,117.2,10.0,95.4,7.0,21.0,7.0,USC,33.0,40.6,27.4,58.1,0.472,20.9,40.1,0.522,6.5,18.0,0.36,13.7,21.1,0.649,11.6,27.2,38.8,13.9,4.8,5.1,12.4,15.1,74.9,,,,,,,,,,,,,,,,,,,,,,,,
2021,"March 28, 2021",East,Regional Semifinal,58,False,18,"Indianapolis, IN",Michigan,1,Florida State,4,Michigan,3,B10,29.67,117.6,9,87.9,1,23,5,Florida State,15.0,ACC,22.12,114.9,16.0,92.8,4.0,18.0,7.0,Michigan,28.0,40.2,27.5,57.1,0.482,20.2,37.8,0.535,7.4,19.3,0.381,13.3,17.3,0.769,8.9,28.5,37.5,15.8,4.3,4.2,11.3,14.7,75.8,Florida State,25.0,40.4,27.7,58.4,0.474,20.0,38.0,0.527,7.7,20.4,0.376,14.0,19.0,0.741,10.9,25.8,36.7,14.5,7.3,5.1,14.4,18.4,77.2
