Year,OT,ATeam,ASeed,BTeam,BSeed,ARk,AAdjEM,AAdjO,AStrength_of_Schedule_AdjD,ANCSOS_AdjT,AW,AL,BRk,BAdjEM,BAdjO,BStrength_of_Schedule_AdjD,BNCSOS_AdjT,BW,BL,A_g,A_mp_per_g,A_fg_per_g,A_fga_per_g,A_fg_pct,A_fg2_per_g,A_fg2a_per_g,A_fg2_pct,A_fg3_per_g,A_fg3a_per_g,A_fg3_pct,A_ft_per_g,A_fta_per_g,A_ft_pct,A_orb_per_g,A_drb_per_g,A_trb_per_g,A_ast_per_g,A_stl_per_g,A_blk_per_g,A_tov_per_g,A_pf_per_g,A_pts_per_g,B_g,B_mp_per_g,B_fg_per_g,B_fga_per_g,B_fg_pct,B_fg2_per_g,B_fg2a_per_g,B_fg2_pct,B_fg3_per_g,B_fg3a_per_g,B_fg3_pct,B_ft_per_g,B_fta_per_g,B_ft_pct,B_orb_per_g,B_drb_per_g,B_trb_per_g,B_ast_per_g,B_stl_per_g,B_blk_per_g,B_tov_per_g,B_pf_per_g,B_pts_per_g,A_team_wins
2021,False,Baylor,1,Gonzaga,1,2.0,33.87,125.0,2.0,91.1,28.0,2.0,1.0,36.48,126.4,1.0,89.9,31.0,1.0,30.0,40.2,30.6,62.9,0.486,20.6,38.7,0.532,10.0,24.1,0.413,11.8,16.7,0.708,12.5,23.5,36.0,16.9,8.9,3.7,11.5,17.1,82.9,32.0,40.2,33.7,61.4,0.549,26.2,41.0,0.639,7.5,20.4,0.368,16.0,22.0,0.73,9.0,28.1,37.2,18.8,7.9,2.8,12.0,16.3,91.0,True
2021,True,UCLA,11,Gonzaga,1,13.0,22.43,116.9,11.0,94.5,22.0,10.0,1.0,36.48,126.4,1.0,89.9,31.0,1.0,32.0,41.4,26.8,58.0,0.461,19.9,39.7,0.503,6.8,18.3,0.372,13.1,18.3,0.715,9.8,25.2,34.9,13.7,4.9,2.8,10.5,16.1,73.4,32.0,40.2,33.7,61.4,0.549,26.2,41.0,0.639,7.5,20.4,0.368,16.0,22.0,0.73,9.0,28.1,37.2,18.8,7.9,2.8,12.0,16.3,91.0,False
2021,False,Houston,2,Baylor,1,5.0,28.75,118.3,7.0,89.6,28.0,4.0,2.0,33.87,125.0,2.0,91.1,28.0,2.0,32.0,40.0,26.7,61.3,0.435,17.6,35.6,0.495,9.1,25.7,0.354,13.6,18.6,0.731,14.3,26.2,40.5,13.9,8.0,4.7,10.7,18.0,76.1,30.0,40.2,30.6,62.9,0.486,20.6,38.7,0.532,10.0,24.1,0.413,11.8,16.7,0.708,12.5,23.5,36.0,16.9,8.9,3.7,11.5,17.1,82.9,False
2021,False,UCLA,11,Michigan,1,13.0,22.43,116.9,11.0,94.5,22.0,10.0,3.0,29.67,117.6,9.0,87.9,23.0,5.0,32.0,41.4,26.8,58.0,0.461,19.9,39.7,0.503,6.8,18.3,0.372,13.1,18.3,0.715,9.8,25.2,34.9,13.7,4.9,2.8,10.5,16.1,73.4,28.0,40.2,27.5,57.1,0.482,20.2,37.8,0.535,7.4,19.3,0.381,13.3,17.3,0.769,8.9,28.5,37.5,15.8,4.3,4.2,11.3,14.7,75.8,True
2021,False,Gonzaga,1,USC,6,1.0,36.48,126.4,1.0,89.9,31.0,1.0,6.0,27.58,115.7,14.0,88.1,25.0,8.0,32.0,40.2,33.7,61.4,0.549,26.2,41.0,0.639,7.5,20.4,0.368,16.0,22.0,0.73,9.0,28.1,37.2,18.8,7.9,2.8,12.0,16.3,91.0,33.0,40.6,27.4,58.1,0.472,20.9,40.1,0.522,6.5,18.0,0.36,13.7,21.1,0.649,11.6,27.2,38.8,13.9,4.8,5.1,12.4,15.1,74.9,True
2021,False,Houston,2,Oregon State,12,5.0,28.75,118.3,7.0,89.6,28.0,4.0,43.0,16.4,112.1,36.0,95.7,20.0,13.0,32.0,40.0,26.7,61.3,0.435,17.6,35.6,0.495,9.1,25.7,0.354,13.6,18.6,0.731,14.3,26.2,40.5,13.9,8.0,4.7,10.7,18.0,76.1,33.0,40.3,24.3,55.8,0.436,17.4,36.3,0.479,7.0,19.5,0.357,14.8,19.5,0.762,10.1,24.2,34.3,14.5,5.8,3.5,11.6,18.8,70.5,True
2021,False,Baylor,1,Arkansas,3,2.0,33.87,125.0,2.0,91.1,28.0,2.0,18.0,21.56,111.1,43.0,89.6,25.0,7.0,30.0,40.2,30.6,62.9,0.486,20.6,38.7,0.532,10.0,24.1,0.413,11.8,16.7,0.708,12.5,23.5,36.0,16.9,8.9,3.7,11.5,17.1,82.9,32.0,40.2,29.2,64.7,0.451,21.9,42.8,0.513,7.3,21.9,0.332,15.7,21.2,0.74,11.8,27.9,39.7,14.6,7.8,4.9,12.9,16.9,81.4,True
2021,True,UCLA,11,Alabama,2,13.0,22.43,116.9,11.0,94.5,22.0,10.0,9.0,25.09,112.9,30.0,87.8,26.0,7.0,32.0,41.4,26.8,58.0,0.461,19.9,39.7,0.503,6.8,18.3,0.372,13.1,18.3,0.715,9.8,25.2,34.9,13.7,4.9,2.8,10.5,16.1,73.4,33.0,40.2,28.0,64.4,0.435,17.5,34.4,0.507,10.5,30.0,0.352,13.1,18.5,0.708,12.4,28.3,40.7,14.1,8.5,4.3,13.9,18.3,79.7,True
2021,False,USC,6,Oregon,7,6.0,27.58,115.7,14.0,88.1,25.0,8.0,16.0,21.85,117.2,10.0,95.4,21.0,7.0,33.0,40.6,27.4,58.1,0.472,20.9,40.1,0.522,6.5,18.0,0.36,13.7,21.1,0.649,11.6,27.2,38.8,13.9,4.8,5.1,12.4,15.1,74.9,,,,,,,,,,,,,,,,,,,,,,,,True
2021,False,Michigan,1,Florida State,4,3.0,29.67,117.6,9.0,87.9,23.0,5.0,15.0,22.12,114.9,16.0,92.8,18.0,7.0,28.0,40.2,27.5,57.1,0.482,20.2,37.8,0.535,7.4,19.3,0.381,13.3,17.3,0.769,8.9,28.5,37.5,15.8,4.3,4.2,11.3,14.7,75.8,25.0,40.4,27.7,58.4,0.474,20.0,38.0,0.527,7.7,20.4,0.376,14.0,19.0,0.741,10.9,25.8,36.7,14.5,7.3,5.1,14.4,18.4,77.2,True
