Year,Date,Region,Round,PTS,OT,Diff,Location,WinningTeam,WinningSeed,LosingTeam,LosingSeed
2021,"April 5, 2021",National,National Final,70,False,16,"Indianapolis, IN",Baylor,1,Gonzaga,1
2021,"April 3, 2021",National,National Semifinal,90,True,3,"Indianapolis, IN",Gonzaga,1,UCLA,11
2021,"April 3, 2021",National,National Semifinal,59,False,19,"Indianapolis, IN",Baylor,1,Houston,2
2021,"March 30, 2021",East,Regional Final,49,False,2,"Indianapolis, IN",UCLA,11,Michigan,1
2021,"March 30, 2021",West,Regional Final,66,False,19,"Indianapolis, IN",Gonzaga,1,USC,6
2021,"March 29, 2021",Midwest,Regional Final,61,False,6,"Indianapolis, IN",Houston,2,Oregon State,12
2021,"March 29, 2021",South,Regional Final,72,False,9,"Indianapolis, IN",Baylor,1,Arkansas,3
2021,"March 28, 2021",East,Regional Semifinal,78,True,10,"Indianapolis, IN",UCLA,11,Alabama,2
2021,"March 28, 2021",West,Regional Semifinal,68,False,14,"Indianapolis, IN",USC,6,Oregon,7
2021,"March 28, 2021",East,Regional Semifinal,58,False,18,"Indianapolis, IN",Michigan,1,Florida State,4
2021,"March 28, 2021",West,Regional Semifinal,65,False,18,"Indianapolis, IN",Gonzaga,1,Creighton,5
2021,"March 27, 2021",Midwest,Regional Semifinal,58,False,7,"Indianapolis, IN",Oregon State,12,Loyola (IL),8
2021,"March 27, 2021",Midwest,Regional Semifinal,46,False,16,"Indianapolis, IN",Houston,2,Syracuse,11
2021,"March 27, 2021",South,Regional Semifinal,51,False,11,"Indianapolis, IN",Baylor,1,Villanova,5
2021,"March 27, 2021",South,Regional Semifinal,70,False,2,"Indianapolis, IN",Arkansas,3,Oral Roberts,15
2021,"March 22, 2021",East,Second Round,47,False,20,"Indianapolis, IN",UCLA,11,Abilene Christian,14
2021,"March 22, 2021",West,Second Round,51,False,34,"Indianapolis, IN",USC,6,Kansas,3
2021,"March 22, 2021",West,Second Round,80,False,15,"Indianapolis, IN",Oregon,7,Iowa,2
2021,"March 22, 2021",East,Second Round,78,False,8,"Indianapolis, IN",Michigan,1,LSU,8
2021,"March 22, 2021",West,Second Round,71,False,16,"Indianapolis, IN",Gonzaga,1,Oklahoma,8
2021,"March 22, 2021",East,Second Round,53,False,18,"Indianapolis, IN",Florida State,4,Colorado,5
2021,"March 22, 2021",West,Second Round,58,False,14,"Indianapolis, IN",Creighton,5,Ohio,13
2021,"March 22, 2021",East,Second Round,77,False,19,"Indianapolis, IN",Alabama,2,Maryland,10
2021,"March 21, 2021",South,Second Round,61,False,23,"Indianapolis, IN",Villanova,5,North Texas,13
2021,"March 21, 2021",Midwest,Second Round,72,False,3,"Indianapolis, IN",Syracuse,11,West Virginia,3
2021,"March 21, 2021",Midwest,Second Round,70,False,10,"Indianapolis, IN",Oregon State,12,Oklahoma State,4
2021,"March 21, 2021",South,Second Round,78,False,3,"Indianapolis, IN",Oral Roberts,15,Florida,7
2021,"March 21, 2021",Midwest,Second Round,58,False,13,"Indianapolis, IN",Loyola (IL),8,Illinois,1
2021,"March 21, 2021",Midwest,Second Round,60,False,3,"Indianapolis, IN",Houston,2,Rutgers,10
